grpah,memorySize,ans,totalTime,calcTime
//old not use!!!
condmat,64,70549,0.013611,0.005540
condmat,256,70549,0.013524,0.005562
condmat,1024,70549,0.013383,0.005460
condmat,4096,70549,0.013519,0.005476
condmat,16384,70549,0.013331,0.005475
marvel,64,10709594,0.079123,0.049647
marvel,256,10709594,0.078851,0.050116
marvel,1024,10709594,0.078526,0.049958
marvel,4096,10709594,0.078432,0.049716
marvel,16384,10709594,0.078935,0.050038
github,64,50894505,1.357944,0.921007
github,256,50894505,1.407405,0.966402
github,1024,50894505,1.404997,0.965299
github,4096,50894505,1.404499,0.965517
github,16384,50894505,1.402842,0.963469
amazon,64,35849304,8.176199,5.314443
amazon,256,35849304,8.563280,5.923463
amazon,1024,35849304,8.907876,6.256073
amazon,4096,35849304,8.913879,6.253807
amazon,16384,35849304,8.887288,6.243042
twitter,64,206508691,3.232196,2.211588
twitter,256,206508691,3.457577,2.421763
twitter,1024,206508691,3.467199,2.431197
twitter,4096,206508691,3.464221,2.430377
twitter,16384,206508691,3.467657,2.434286
flicker,64,35258013095,121.553533,71.643222
flicker,256,35258013095,116.657308,78.620371
flicker,1024,35258013095,115.479345,84.740483
flicker,4096,35258013095,118.635250,88.250443
flicker,16384,35258013095,123.650390,91.286853
reuters,64,7494431354266,584.011790,346.430190
reuters,256,7494431354266,547.405805,365.889227
reuters,1024,7494431354266,511.151619,376.992806
reuters,4096,7494431354266,507.897597,386.668071
livejournal,64,3297158439527,833.780568,463.996532
livejournal,256,3297158439527,814.346327,503.264455
livejournal,1024,3297158439527,795.940683,540.175247
livejournal,4096,3297158439527,770.185330,565.830185
livejournal,16384,3297158439527,789.285314,598.825588
reuters,16384,7494431354266,528.836739,402.947048
livejournal,1024,3324044705083,773.900477,536.179579
amazon,1024,35849304,9.287363,6.629658
amazon,1024,35849304,9.257673,0.012791
github,1024,50894505,1.401781,0.000844
github,1024,50894505,1.369458,0.000839
github,1024,50894505,1.179210,0.733104
github,1024,50894505,1.179098,0.000000
github,1024,50894505,1.169779,0.000000
flicker,1024,35258013095,95.261121,0.000000
flicker,1024,35258013095,113.865463,0.000000
//3-20
github,1024,50894505,1.177676,0.655975
flicker,1024,35258013095,95.374269,59.167096
flicker,1024,35258013095,95.370380,59.134036
flicker,1024,35258013095,113.110284,78.007546
flicker,1024,35258013095,113.947788,75.337345
flicker,1024,35258013095,113.408669,75.149086
github,1024,50894505,1.388795,0.849308
//3-20 limit 1G
flicker,1024,35258013095,117.585958,72.317357
flicker,1024,35258013095,116.615643,72.510956
flicker,1024,35258013095,112.817159,74.050584
github,1024,50894505,1.031204,0.660029
